ACCOUNTID,Account Name,Account Owner Id,Account Owner,Account Type,Industry,Website,Tasks Involved,Events Involved,Calls Involved,Activities Involved
495,Security Sporting Goods,1007,David Love,Prospect,Consulting,ToneTunes.com,Yes,Yes,No,Yes
496,Specialty Restaurant Group,1010,Augustine Paul,Prospect,Technology,CultureSocial.com,Yes,No,No,Yes
497,A Plus Lawn Care,1004,Pete Zachariah,Customer,Manufacturing,MassAdvertisement.com,No,No,No,No
498,L' Fish,1001,Rozario Diego,Prospect,Technology,TutorShow.com,Yes,Yes,No,Yes
499,Mages,1008,Roger Terrence,Prospect,Financial Services,GreenHotspot.com,Yes,Yes,No,Yes
500,One-Up Realty,1009,Thomas Mondrake,Customer,Communications,SeatRequest.com,Yes,No,No,Yes
501,Mr. Good Buys,1004,Pete Zachariah,Prospect,Service Provider,OrderAlerts.com,Yes,Yes,No,Yes
502,Chargepal,1005,Jasmine Frank,Customer,Technology,DomainVeteran.com,No,No,No,No
503,Pace Membership Warehouse,1002,Santa Cruz Clara,Prospect,Consulting,SemiYearly.com,Yes,No,No,Yes
504,GEX,1006,Harold Pawlan,Prospect,Communications,MutualAccount.com,Yes,Yes,Yes,Yes
505,Kragen Auto Parts,1005,Jasmine Frank,Prospect,Financial Services,FareReview.com,Yes,Yes,No,Yes
506,Sammy's Record Shack,1009,Thomas Mondrake,Customer,Financial Services,EyeTint.com,No,No,No,No
507,Parts and Pieces,1007,David Love,Customer,Technology,AwakeningMoments.com,Yes,Yes,No,Yes
508,Franklin Music,1001,Rozario Diego,Prospect,Financial Services,CubaZine.com,Yes,Yes,No,Yes
509,Total Yard Maintenance,1006,Harold Pawlan,Prospect,Manufacturing,SelfMillionaire.com,Yes,Yes,No,Yes
510,Crafts & More,1004,Pete Zachariah,Prospect,IT Services,ExcellentSurfer.com,No,No,No,No
511,Williams Bros.,1011,Tina Thomas,Prospect,Financial Services,HugeHand.com,Yes,Yes,No,Yes
512,Sunburst Garden Management,1011,Tina Thomas,Prospect,Communications,ReliefGel.com,Yes,Yes,No,Yes
513,Crazy Tiger,1008,Roger Terrence,Prospect,Financial Services,LandscapeCovers.com,Yes,No,No,Yes
514,Rickel,1007,David Love,Prospect,IT Services,InsuranceSeries.com,Yes,No,No,Yes
515,Sears Homelife,1001,Rozario Diego,Prospect,Financial Services,FinancialLimit.com,No,No,No,No
516,Price Savers,1010,Augustine Paul,Prospect,IT Services,CivicHelp.com,Yes,Yes,No,Yes
517,AJ Bayless,1002,Santa Cruz Clara,Customer,Service Provider,FirstTimeShopper.com,No,No,No,No
518,Kinney Shoes,1001,Rozario Diego,Prospect,Service Provider,GotChow.com,Yes,Yes,No,Yes
519,Heslop's,1001,Rozario Diego,Prospect,Manufacturing,CounselingMaterials.com,No,No,No,No
520,Scotty's Builders Supply,1006,Harold Pawlan,Customer,Government/Military,FabulousVibe.com,Yes,No,Yes,Yes
521,Lafayette Radio,1003,Lazar Mathew,Customer,IT Services,FontSheet.com,No,No,No,No
522,Wherehouse Music,1009,Thomas Mondrake,Customer,Manufacturing,DraftingExpert.com,Yes,Yes,No,Yes
523,Good Times,1010,Augustine Paul,Customer,IT Services,MarketVoip.com,Yes,No,No,Yes
524,Argus Tapes & Records,1005,Jasmine Frank,Prospect,Financial Services,LifeHead.com,No,No,No,No
525,Intelli Wealth Group,1006,Harold Pawlan,Customer,Manufacturing,CounterfeitClothes.com,Yes,Yes,No,Yes
526,Specialty Restaurant Group,1003,Lazar Mathew,Prospect,Consulting,TechInventor.com,No,No,No,No
527,First Rate Choice,1007,David Love,Customer,Service Provider,WhoIsExchange.com,No,No,No,No
528,Stratagee,1011,Tina Thomas,Customer,Education,BankingAnalytics.com,No,No,No,No
529,Frame Scene,1009,Thomas Mondrake,Customer,Manufacturing,CrimePath.com,Yes,Yes,No,Yes
530,The Flying Hippo,1004,Pete Zachariah,Customer,Education,ResidentialCorner.com,No,No,No,No
531,H.C. Bohack,1008,Roger Terrence,Prospect,Education,LiveIncentives.com,No,No,No,No
532,Monmax,1002,Santa Cruz Clara,Prospect,Government/Military,LocalMufflers.com,Yes,Yes,No,Yes
533,Smitty's Marketplace,1008,Roger Terrence,Prospect,Education,StLouisLighting.com,Yes,No,Yes,Yes
534,Video Concepts,1010,Augustine Paul,Prospect,Financial Services,ComplianceInChina.com,No,No,No,No
535,Pearl Architectural Design,1008,Roger Terrence,Customer,IT Services,EmploymentBrief.com,No,No,No,No
536,Highland Appliance,1002,Santa Cruz Clara,Customer,Manufacturing,SalmonSales.com,No,No,No,No
537,Saturday Matinee,1007,David Love,Prospect,Pharma,CommerceShows.com,Yes,Yes,No,Yes
538,Titania,1003,Lazar Mathew,Prospect,Government/Military,PersonStore.com,No,No,No,No
539,Body Toning,1002,Santa Cruz Clara,Customer,Technology,GreenPlatinum.com,No,No,No,No
540,J. Brannam,1001,Rozario Diego,Customer,Financial Services,PimpTShirt.com,Yes,Yes,No,Yes
541,Yesterday's Records,1006,Harold Pawlan,Customer,Communications,AtomicApps.com,Yes,Yes,No,Yes
542,Infinite Wealth Planners,1002,Santa Cruz Clara,Customer,Financial Services,RareTherapy.com,No,No,No,No
543,Hollywood Video,1011,Tina Thomas,Customer,Financial Services,GymCourt.com,Yes,Yes,No,Yes
544,Gold Touch,1003,Lazar Mathew,Customer,Financial Services,ThatsRelief.com,Yes,Yes,No,Yes
545,Kids Mart,1009,Thomas Mondrake,Prospect,Service Provider,DoubleCredits.com,No,No,No,No
546,Prospa-Pal,1011,Tina Thomas,Prospect,Pharma,CertifiedVoIP.com,No,No,No,No
547,MegaSolutions,1002,Santa Cruz Clara,Prospect,Technology,GunRadar.com,Yes,Yes,No,Yes
548,A+ Electronics,1010,Augustine Paul,Customer,Pharma,AdultWing.com,Yes,Yes,No,Yes
549,Quality Merchant Services,1001,Rozario Diego,Prospect,Manufacturing,ResumeScreeners.com,Yes,No,Yes,Yes
550,Consumers and Consumers Express,1002,Santa Cruz Clara,Prospect,IT Services,LargeShops.com,No,No,No,No
551,Jacobs,1005,Jasmine Frank,Customer,Consulting,GameRelations.com,No,No,No,No
552,Electronic Geek,1004,Pete Zachariah,Prospect,Consulting,SeekArcade.com,Yes,No,No,Yes
553,Argus Tapes & Records,1011,Tina Thomas,Prospect,Consulting,ResumeBinder.com,No,No,No,No
554,Museum Company,1003,Lazar Mathew,Customer,Pharma,BonusSpins.com,No,No,No,No
555,Fellowship Investments,1008,Roger Terrence,Prospect,Government/Military,ClipDaily.com,No,No,No,No
556,Total Yard Management,1005,Jasmine Frank,Customer,Pharma,CashCentric.com,Yes,Yes,No,Yes
557,Back To Basics Chiropractic Clinic,1006,Harold Pawlan,Prospect,Service Provider,MormonRules.com,Yes,Yes,No,Yes
558,Incredible Universe,1004,Pete Zachariah,Customer,Financial Services,PlatinumTalk.com,No,No,No,No
559,The White Swan,1004,Pete Zachariah,Prospect,Communications,ReunionHoliday.com,No,No,No,No
560,Buehler Foods,1004,Pete Zachariah,Customer,Government/Military,StrictlyIdeas.com,Yes,Yes,Yes,Yes
561,Exact Realty,1007,David Love,Customer,Manufacturing,RenewablesAnalytics.com,No,No,No,No
562,Tech Hifi,1001,Rozario Diego,Customer,Financial Services,ButterJelly.com,Yes,Yes,No,Yes
563,Lawnscape Garden Maintenance,1006,Harold Pawlan,Customer,Service Provider,GamingRecruiter.com,No,No,No,No
564,Capitalcorp,1004,Pete Zachariah,Customer,Technology,PineBlog.com,No,No,No,No
565,Cardinal Stores,1010,Augustine Paul,Prospect,Pharma,ToddlerToothpaste.com,No,No,No,No
566,Electric Avenue,1002,Santa Cruz Clara,Prospect,Government/Military,CoursePop.com,No,No,No,No
567,Hastings,1005,Jasmine Frank,Prospect,Manufacturing,LiveKeep.com,No,No,No,No
568,Sholl's Colonial Cafeteria,1006,Harold Pawlan,Prospect,Government/Military,TheologyStudent.com,No,No,No,No
569,Kinney Shoes,1005,Jasmine Frank,Prospect,Service Provider,Melei.com,No,No,No,No
570,Olson Electronics,1007,David Love,Prospect,Manufacturing,TalkAbuse.com,No,No,No,No
571,Kelly and Cohen,1007,David Love,Prospect,Pharma,AirPreview.com,No,No,No,No
572,Mr. Steak,1010,Augustine Paul,Customer,Service Provider,InsuranceKeywords.com,Yes,Yes,No,Yes
573,Manu Connection,1008,Roger Terrence,Prospect,Technology,Mormon101.com,No,No,No,No
574,Music Boutique,1006,Harold Pawlan,Customer,Consulting,RewardShow.com,Yes,No,No,Yes
575,Superior Appraisals,1002,Santa Cruz Clara,Customer,Education,MobileIrons.com,No,No,No,No
576,Rossi Auto Parts,1006,Harold Pawlan,Prospect,Pharma,PurpleDrinks.com,Yes,Yes,No,Yes
577,Fit Tonic,1006,Harold Pawlan,Prospect,Service Provider,AboutAgency.com,No,No,No,No
578,Nedick's,1003,Lazar Mathew,Customer,Education,RecruiterMonthly.com,Yes,Yes,No,Yes
579,Sound Warehouse,1004,Pete Zachariah,Customer,Government/Military,ElectronicsQuarterly.com,No,No,No,No
580,Century House,1007,David Love,Prospect,Government/Military,MobileEffect.com,No,No,No,No
581,Angel's,1005,Jasmine Frank,Customer,Service Provider,MidwifeLocator.com,Yes,No,No,Yes
582,Peaches,1008,Roger Terrence,Customer,Manufacturing,GreenCounselors.com,No,No,No,No
583,Del Farm,1010,Augustine Paul,Prospect,Manufacturing,CartCleaning.com,No,No,No,No
584,Mages,1004,Pete Zachariah,Customer,Technology,ForeignFlick.com,Yes,No,No,Yes
585,Ellman's Catalog Showrooms,1011,Tina Thomas,Prospect,Financial Services,SoftToe.com,Yes,Yes,No,Yes
586,Adaptas,1007,David Love,Customer,Consulting,ScoopAlert.com,No,No,No,No
587,Schweggmanns,1008,Roger Terrence,Customer,Pharma,PDAGuard.com,Yes,No,No,Yes
588,Muirhead's,1006,Harold Pawlan,Prospect,Education,VintageMaternity.com,Yes,Yes,No,Yes
589,Honest Air Group,1010,Augustine Paul,Prospect,Government/Military,NorthernCasinos.com,No,No,No,No
590,Roberd's,1001,Rozario Diego,Prospect,Service Provider,ResidenceRewards.com,No,No,No,No
591,CSK Auto,1009,Thomas Mondrake,Prospect,Manufacturing,PregnancyPants.com,No,No,No,No
592,Steinberg's,1006,Harold Pawlan,Prospect,Consulting,MortgageLesson.com,No,No,No,No
593,Belle Lady,1002,Santa Cruz Clara,Customer,Consulting,ComputerLookup.com,No,No,No,No
594,Holly Tree Inn,1003,Lazar Mathew,Customer,IT Services,InternationalPulse.com,Yes,No,No,Yes
595,Ransohoffs,1009,Thomas Mondrake,Customer,Consulting,LinkConcierge.com,No,No,No,No
596,Today's Man,1001,Rozario Diego,Prospect,Service Provider,AssistantBuyers.com,No,No,No,No
597,Musicland,1005,Jasmine Frank,Prospect,Technology,PrivacyCams.com,No,No,No,No
598,Boston Sea Party,1003,Lazar Mathew,Prospect,Pharma,ProductionBus.com,No,No,No,No
599,Indiewealth,1006,Harold Pawlan,Customer,Education,VFederal.com,Yes,No,No,Yes
600,Pro Star Garden Management,1009,Thomas Mondrake,Customer,Service Provider,PotteryTown.com,No,No,No,No
601,Auto Palace,1010,Augustine Paul,Prospect,Financial Services,DevelopmentLife.com,Yes,Yes,No,Yes
602,Affinity Investment Group,1001,Rozario Diego,Customer,Communications,FantasticArena.com,No,No,No,No
603,Earthworks Yard Maintenance,1007,David Love,Prospect,Pharma,DayMotel.com,No,No,No,No
604,Eli Moore Inc,1007,David Love,Prospect,Education,FabulousPhotographs.com,No,No,No,No
605,Strategic Profit,1007,David Love,Customer,Education,BingoLesson.com,Yes,Yes,No,Yes
606,Soul Sounds Unlimited,1009,Thomas Mondrake,Customer,Technology,BloggerLookup.com,Yes,Yes,Yes,Yes
607,Magna Architectural Design,1001,Rozario Diego,Prospect,Communications,SeekBrains.com,Yes,Yes,No,Yes
608,Big Daddy's Restaurants,1002,Santa Cruz Clara,Customer,Communications,KeyPreview.com,No,No,No,No
609,Cardinal Stores,1001,Rozario Diego,Customer,Education,HollywoodSale.com,No,No,No,No
610,Zantigo,1004,Pete Zachariah,Prospect,IT Services,CashTravels.com,No,No,No,No
611,Multi Tech Development,1008,Roger Terrence,Prospect,IT Services,RepairDiscount.com,No,No,No,No
612,Better Business Ideas and Services,1005,Jasmine Frank,Prospect,Communications,MobileInstructor.com,Yes,Yes,Yes,Yes
613,Maloley's Finer Foods,1001,Rozario Diego,Prospect,Education,PicBroker.com,Yes,No,No,Yes
614,Exact Realty,1007,David Love,Prospect,Consulting,BrotherBig.com,Yes,Yes,No,Yes
615,CompuAdd,1008,Roger Terrence,Prospect,Technology,DirectoryExpo.com,Yes,Yes,No,Yes
616,Intelli Wealth Group,1001,Rozario Diego,Prospect,IT Services,CollegeBasketballAnalyst.com,Yes,No,No,Yes
617,Creative Wealth,1002,Santa Cruz Clara,Prospect,Education,BinBuilder.com,Yes,Yes,No,Yes
618,Good Times,1005,Jasmine Frank,Prospect,Pharma,TroopTalk.com,Yes,No,No,Yes
619,Electronics Source,1006,Harold Pawlan,Customer,Pharma,SoftballHub.com,No,No,No,No
620,Our Own Hardware,1011,Tina Thomas,Prospect,Pharma,AndrewJr.com,Yes,No,Yes,Yes
621,Sunflower Market,1006,Harold Pawlan,Prospect,IT Services,FuneralTradeShow.com,Yes,No,No,Yes
622,Strength Gurus,1003,Lazar Mathew,Customer,Government/Military,DiscountCommunities.com,Yes,No,No,Yes
623,Midwest TV & Appliance,1006,Harold Pawlan,Prospect,Technology,ProtectionPoker.com,Yes,Yes,No,Yes
624,County Market,1008,Roger Terrence,Customer,Pharma,CellphoneBands.com,No,No,No,No
625,First Rate Choice,1006,Harold Pawlan,Customer,Communications,TheaterBlogging.com,Yes,No,No,Yes
626,Canal Villere,1004,Pete Zachariah,Prospect,Communications,PurpleMarketers.com,No,No,No,No
627,Strategic Profit,1008,Roger Terrence,Prospect,IT Services,AdvertiseInsurance.com,Yes,No,No,Yes
628,Strength Gurus,1010,Augustine Paul,Customer,Technology,GreatJump.com,No,No,No,No
629,Fedco,1007,David Love,Customer,Pharma,AffordableBoarding.com,Yes,No,Yes,Yes
630,Thrift Auto Parts,1003,Lazar Mathew,Customer,Service Provider,LoseCash.com,Yes,Yes,No,Yes
631,Intelacard,1007,David Love,Prospect,Service Provider,FileDoors.com,No,No,No,No
632,Sampson's,1005,Jasmine Frank,Customer,Consulting,PropertiesTax.com,No,No,No,No
633,Janeville,1004,Pete Zachariah,Prospect,Technology,MarathonChat.com,Yes,Yes,No,Yes
634,Buttrey Food & Drug,1003,Lazar Mathew,Customer,IT Services,ScoreHotline.com,Yes,No,No,Yes
635,Red Robin Stores,1011,Tina Thomas,Prospect,Government/Military,TVOption.com,Yes,No,No,Yes
636,Johnson's General Stores,1010,Augustine Paul,Customer,Consulting,PokerClues.com,Yes,Yes,No,Yes
637,John M. Smyth's Homemakers,1001,Rozario Diego,Customer,IT Services,DollarReserve.com,Yes,Yes,No,Yes
638,Sky High Financial Advice,1011,Tina Thomas,Customer,Government/Military,PawCuffs.com,No,No,No,No
639,Eden Lawn Service,1001,Rozario Diego,Prospect,Education,MidwestMeat.com,Yes,Yes,No,Yes
640,Play Town,1001,Rozario Diego,Prospect,Pharma,CelebrityLookup.com,No,No,No,No
641,Weathervane,1004,Pete Zachariah,Prospect,Communications,BrandingBeat.com,No,No,No,No
642,Egghead Software,1008,Roger Terrence,Prospect,Pharma,KillerClubs.com,Yes,No,No,Yes
643,Integra Design,1005,Jasmine Frank,Customer,Pharma,GamblingDivas.com,Yes,No,Yes,Yes
644,Omni Superstore,1005,Jasmine Frank,Prospect,Education,OctopusMan.com,Yes,Yes,No,Yes
645,Gene Walter's Marketplace,1003,Lazar Mathew,Customer,Technology,MedicalCars.com,Yes,Yes,No,Yes
646,Gallenkamp,1002,Santa Cruz Clara,Customer,Pharma,MotivationalCourses.com,No,No,No,No
647,Total Sources,1005,Jasmine Frank,Customer,Service Provider,MobileEffect.com,No,No,No,No
648,Solid Future,1005,Jasmine Frank,Customer,Education,CarDumps.com,Yes,Yes,No,Yes
649,Mansmann's Department Store,1007,David Love,Customer,IT Services,TapeOnDemand.com,No,No,No,No
650,Electronics Source,1010,Augustine Paul,Prospect,Manufacturing,BlogArchitects.com,Yes,No,Yes,Yes
651,Balanced Fortune,1004,Pete Zachariah,Prospect,Communications,BizFaster.com,No,No,No,No
652,Isaly's,1002,Santa Cruz Clara,Prospect,Communications,PDAMasters.com,No,No,No,No
653,Dave Cooks,1002,Santa Cruz Clara,Prospect,Communications,PaidAttorney.com,Yes,Yes,No,Yes
654,The High Heelers,1010,Augustine Paul,Customer,Technology,NBCUpdate.com,No,No,No,No
655,Desert Garden Help,1010,Augustine Paul,Customer,Pharma,AlertBackup.com,No,No,No,No
656,Wellby,1007,David Love,Customer,Consulting,GenerationCredit.com,Yes,Yes,No,Yes
657,Planetbiz,1002,Santa Cruz Clara,Prospect,Technology,JuniorAgent.com,Yes,Yes,No,Yes
658,Bountiful Harvest Health Food Store,1006,Harold Pawlan,Customer,Financial Services,VoipAssistance.com,Yes,No,No,Yes
659,Roadhouse Grill,1006,Harold Pawlan,Customer,Communications,TieBuilder.com,No,No,No,No
660,Libera,1008,Roger Terrence,Customer,Pharma,TheatreAudition.com,Yes,Yes,No,Yes
661,Complete Tech,1009,Thomas Mondrake,Customer,Consulting,PhotoStatements.com,No,No,No,No
662,Foxmoor,1002,Santa Cruz Clara,Customer,Service Provider,TVFolio.com,Yes,Yes,No,Yes
663,Quality Realty Service,1001,Rozario Diego,Customer,Technology,InsuranceStats.com,No,No,No,No
664,Carter's Foods,1001,Rozario Diego,Customer,Communications,WifiStudent.com,Yes,Yes,No,Yes
665,EnviroSource Design,1004,Pete Zachariah,Customer,Government/Military,PoleSlide.com,Yes,No,No,Yes
666,Perisolution,1001,Rozario Diego,Customer,Financial Services,TurkeyPizza.com,No,No,No,No
667,E-zhe Source,1011,Tina Thomas,Customer,Education,CurrentJokes.com,No,No,No,No
668,Colonial Stores,1004,Pete Zachariah,Prospect,Technology,WildBoutique.com,Yes,No,No,Yes
669,Crown Books,1011,Tina Thomas,Customer,Service Provider,RecruitingLocal.com,Yes,Yes,No,Yes
670,Best Products,1011,Tina Thomas,Customer,Government/Military,ReverseAnalysis.com,No,No,No,No
671,Golf Augusta Pro Shops,1005,Jasmine Frank,Customer,Manufacturing,MarineJets.com,Yes,Yes,No,Yes
672,Licorice Pizza,1004,Pete Zachariah,Customer,Technology,NoteNews.com,Yes,No,Yes,Yes
673,Finast,1008,Roger Terrence,Prospect,Consulting,BrotherBig.com,No,No,No,No
674,The Lawn Guru,1009,Thomas Mondrake,Prospect,Financial Services,DrugHigh.com,No,No,No,No
675,Huyler's,1008,Roger Terrence,Prospect,Consulting,CampWeekly.com,No,No,No,No
676,First Rate Choice,1011,Tina Thomas,Prospect,Consulting,EternalVitamin.com,Yes,Yes,No,Yes
677,Hit or Miss,1011,Tina Thomas,Prospect,Consulting,GlobalSensations.com,Yes,Yes,No,Yes
678,Herman's World of Sporting Goods,1001,Rozario Diego,Customer,Communications,BloggerLookup.com,No,No,No,No
679,Life's Gold,1004,Pete Zachariah,Prospect,Financial Services,LoyalBrands.com,No,No,No,No
680,Packer,1007,David Love,Prospect,Manufacturing,FindMilk.com,Yes,Yes,No,Yes
681,Fit Tonic,1010,Augustine Paul,Prospect,Manufacturing,WildDorm.com,Yes,No,No,Yes
682,McDuff,1008,Roger Terrence,Customer,Financial Services,OregonTravelAgents.com,No,No,No,No
683,Superior Interior Design,1008,Roger Terrence,Prospect,Manufacturing,IdealWorth.com,No,No,No,No
684,Simply Save,1011,Tina Thomas,Customer,Pharma,FashionExam.com,No,No,No,No
685,Independent Wealth Management,1006,Harold Pawlan,Prospect,Financial Services,SelfIdeas.com,No,No,No,No
686,Rich and Happy,1006,Harold Pawlan,Prospect,Government/Military,PlacePros.com,Yes,Yes,No,Yes
687,Enrich Garden Services,1007,David Love,Prospect,Service Provider,FuelProduct.com,No,No,No,No
688,Ernst Home Centers,1007,David Love,Customer,Financial Services,TodayValues.com,No,No,No,No
689,Good Times,1001,Rozario Diego,Prospect,Service Provider,BuildHer.com,Yes,No,No,Yes
690,Stop and Shop,1001,Rozario Diego,Prospect,Technology,ExtraSheets.com,No,No,No,No
691,Mr. Clark's Appliances,1003,Lazar Mathew,Prospect,Consulting,MissExecutive.com,Yes,Yes,No,Yes
692,Schucks Auto Supply,1010,Augustine Paul,Customer,Communications,TanBags.com,No,No,No,No
693,Tape World,1002,Santa Cruz Clara,Prospect,Service Provider,PrivilegeRewards.com,No,No,No,No
694,Great Western,1004,Pete Zachariah,Customer,Communications,WikiFinder.com,No,No,No,No
695,Your Future Is Now,1010,Augustine Paul,Customer,Consulting,AdvertisingReporter.com,Yes,No,No,Yes
696,Integra Design,1006,Harold Pawlan,Customer,Education,OMesothelioma.com,Yes,No,Yes,Yes
697,Parts and Pieces,1004,Pete Zachariah,Customer,Government/Military,FemaleTeam.com,Yes,No,Yes,Yes
698,Nobil,1010,Augustine Paul,Prospect,Financial Services,IllBlog.com,Yes,Yes,No,Yes
699,Great American Music,1010,Augustine Paul,Prospect,Consulting,GrowthInformation.com,Yes,No,No,Yes
700,Wherehouse Music,1004,Pete Zachariah,Prospect,Financial Services,BeverageBoats.com,Yes,No,Yes,Yes
701,Advansed Teksyztems,1009,Thomas Mondrake,Prospect,Pharma,ShopBets.com,Yes,Yes,No,Yes
702,Dahlkemper's,1003,Lazar Mathew,Customer,Service Provider,RingChat.com,No,No,No,No
703,Zephyr Investments,1007,David Love,Prospect,Education,GardenDistributor.com,No,No,No,No
704,Waccamaw Pottery,1005,Jasmine Frank,Customer,Service Provider,DropSome.com,No,No,No,No
705,Infinity Investment Plan,1001,Rozario Diego,Prospect,Consulting,DeadConnect.com,No,No,No,No
706,Family Toy,1004,Pete Zachariah,Prospect,Financial Services,MobileProspect.com,Yes,Yes,No,Yes
707,Merry-Go-Round,1004,Pete Zachariah,Customer,Communications,WirelessDSLBlog.com,Yes,Yes,No,Yes
708,Janeville,1011,Tina Thomas,Prospect,Financial Services,ArtistMovie.com,No,No,No,No
709,Monsource,1004,Pete Zachariah,Customer,Financial Services,BuyingTVs.com,No,No,No,No
710,Eagle Hardware & Garden,1008,Roger Terrence,Prospect,Government/Military,CheapExpense.com,Yes,Yes,No,Yes
711,Play Town,1007,David Love,Prospect,Technology,CardChaser.com,No,No,No,No
712,Macroserve,1003,Lazar Mathew,Prospect,Communications,ConsultingNurse.com,Yes,No,No,Yes
713,Patterson-Fletcher,1004,Pete Zachariah,Customer,Pharma,SemiClean.com,No,No,No,No
714,Lawnscape Garden Maintenance,1003,Lazar Mathew,Customer,Manufacturing,FlyFunds.com,Yes,Yes,No,Yes
715,Total Network Development,1002,Santa Cruz Clara,Customer,Pharma,LCDOffers.com,Yes,Yes,No,Yes
716,Warshal's,1009,Thomas Mondrake,Prospect,Consulting,DessertSpring.com,Yes,Yes,Yes,Yes
717,Asian Answers,1009,Thomas Mondrake,Customer,Communications,BibleSupport.com,Yes,No,No,Yes
718,Matrix Design,1009,Thomas Mondrake,Prospect,Manufacturing,HolisticDigest.com,No,No,No,No
719,Price's Electronics,1004,Pete Zachariah,Customer,Government/Military,TubeText.com,Yes,Yes,No,Yes
720,Frank and Seder,1010,Augustine Paul,Prospect,Technology,CapZilla.com,Yes,No,No,Yes
721,Monlinks,1009,Thomas Mondrake,Prospect,IT Services,OvernightMedicines.com,No,No,No,No
722,White Coffee Pot,1007,David Love,Prospect,IT Services,GuysGoneWired.com,Yes,No,No,Yes
723,Richman Brothers,1008,Roger Terrence,Customer,Technology,MexicanObjects.com,Yes,No,No,Yes
724,Yesterday's Records,1011,Tina Thomas,Prospect,Financial Services,ComedyHappens.com,No,No,No,No
725,Total Quality,1010,Augustine Paul,Customer,IT Services,JudoBasics.com,No,No,No,No
726,The Wiz,1007,David Love,Customer,Communications,BottomStep.com,No,No,No,No
727,Anthony's,1005,Jasmine Frank,Customer,IT Services,MayoDoctor.com,No,No,No,No
728,Elm Farm,1003,Lazar Mathew,Customer,Communications,PodPark.com,Yes,Yes,No,Yes
729,Maloley's Finer Foods,1005,Jasmine Frank,Customer,Financial Services,RawDemos.com,Yes,No,No,Yes
730,Afforda Merchant Services,1004,Pete Zachariah,Customer,Pharma,SolutionLinks.com,No,No,No,No
731,Fedco,1006,Harold Pawlan,Customer,Financial Services,ResidentialCorner.com,No,No,No,No
732,Bodega Club,1003,Lazar Mathew,Customer,Communications,USFirm.com,No,No,No,No
733,Rink's,1006,Harold Pawlan,Customer,IT Services,FuelStrike.com,Yes,No,No,Yes
734,Good Times,1002,Santa Cruz Clara,Customer,IT Services,SelfRestore.com,No,No,No,No
735,Desmonds Formal Wear,1008,Roger Terrence,Prospect,Technology,ScoopVille.com,Yes,Yes,No,Yes
736,Sandy's,1006,Harold Pawlan,Customer,Pharma,RecruitingLocal.com,No,No,No,No
737,Auto Palace,1005,Jasmine Frank,Prospect,Technology,PoeticLanguage.com,No,No,No,No
738,Brilliant Home Designs,1011,Tina Thomas,Prospect,Technology,AccountingBuzz.com,No,No,No,No
739,Erlebacher's,1006,Harold Pawlan,Customer,Communications,PropFlip.com,Yes,Yes,No,Yes
740,Childs Restaurants,1008,Roger Terrence,Customer,Financial Services,SupremePump.com,Yes,Yes,No,Yes
741,Anthony's,1007,David Love,Prospect,Financial Services,OrderInteractive.com,Yes,No,No,Yes
742,Weingarten's,1001,Rozario Diego,Prospect,Technology,MotorcycleMarkets.com,No,No,No,No
743,LoRay,1011,Tina Thomas,Prospect,Financial Services,CheapDevelopers.com,Yes,Yes,No,Yes
744,Corinthian Designs,1011,Tina Thomas,Prospect,Consulting,TVEnthusiast.com,Yes,Yes,No,Yes
745,Chargepal,1004,Pete Zachariah,Prospect,IT Services,FailStats.com,Yes,No,No,Yes
746,The Original House of Pies,1001,Rozario Diego,Customer,Consulting,BankingAnalytics.com,Yes,Yes,No,Yes
747,John Plain,1008,Roger Terrence,Prospect,Financial Services,Gigarank.com,No,No,No,No
748,Solution Answers,1002,Santa Cruz Clara,Prospect,Manufacturing,TanPlex.com,No,No,No,No
749,Hills Supermarkets,1010,Augustine Paul,Customer,Pharma,DevPick.com,No,No,No,No
750,Pearl Architectural Design,1001,Rozario Diego,Prospect,Pharma,PrepayTickets.com,Yes,Yes,No,Yes
751,Netstars Matrix Design,1001,Rozario Diego,Prospect,Manufacturing,ReligiousCounselor.com,Yes,Yes,No,Yes
752,Courtesy Hardware Store,1007,David Love,Customer,Financial Services,FamilyBoss.com,No,No,No,No
753,Matrix Architectural Service,1007,David Love,Prospect,Education,RegistrationSpecials.com,No,No,No,No
754,Gino's Hamburgers,1009,Thomas Mondrake,Customer,IT Services,TutorTag.com,No,No,No,No
755,World of Fun,1007,David Love,Prospect,Manufacturing,TelevisionFanatic.com,Yes,Yes,No,Yes
756,10000 Auto Parts,1006,Harold Pawlan,Customer,Service Provider,DiscDisplays.com,No,No,No,No
757,CompuAdd,1004,Pete Zachariah,Prospect,Manufacturing,LocalMufflers.com,No,No,No,No
758,Buena Vista Garden Maintenance,1001,Rozario Diego,Customer,Education,LinkValuation.com,No,No,No,No
759,Electronics Source,1009,Thomas Mondrake,Prospect,Service Provider,OrganizedGaming.com,No,No,No,No
760,AM/PM Camp,1009,Thomas Mondrake,Prospect,Technology,DnOptions.com,Yes,Yes,No,Yes
761,Tianguis,1004,Pete Zachariah,Customer,Communications,PickFund.com,No,No,No,No
762,Simply Save,1003,Lazar Mathew,Prospect,Education,InternationalWords.com,Yes,Yes,No,Yes
763,ABCO Foods,1001,Rozario Diego,Prospect,Communications,LocalBrief.com,No,No,No,No
764,Service Merchandise,1010,Augustine Paul,Prospect,IT Services,GuardSales.com,No,No,No,No
